"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Fabrication de bière (NAF rév. 2, niveau classe, poste 11.05)";"Codes"

"2022-02";"96.63";"A"
"2022-01";"95.57";"A"
"2021-12";"95.65";"A"
"2021-11";"97.96";"A"
"2021-10";"94.42";"A"
"2021-09";"91.55";"A"
"2021-08";"88.59";"A"
"2021-07";"88.98";"A"
"2021-06";"102.07";"A"
"2021-05";"92.66";"A"
"2021-04";"92.18";"A"
"2021-03";"96.81";"A"
"2021-02";"92.52";"A"
"2021-01";"91.82";"A"
"2020-12";"93.31";"A"
"2020-11";"93.28";"A"
"2020-10";"93.18";"A"
"2020-09";"99.14";"A"
"2020-08";"108.14";"A"
"2020-07";"95.01";"A"
"2020-06";"103.27";"A"
"2020-05";"85.26";"A"
"2020-04";"82.94";"A"
"2020-03";"93.73";"A"
"2020-02";"99.72";"A"
"2020-01";"98.01";"A"
"2019-12";"95.72";"A"
"2019-11";"98.99";"A"
"2019-10";"97.2";"A"
"2019-09";"97.52";"A"
"2019-08";"94.99";"A"
"2019-07";"102.42";"A"
"2019-06";"93.18";"A"
"2019-05";"92.27";"A"
"2019-04";"100.24";"A"
"2019-03";"99.07";"A"
"2019-02";"96.33";"A"
"2019-01";"99.87";"A"
"2018-12";"100.55";"A"
"2018-11";"92.72";"A"
"2018-10";"102.53";"A"
"2018-09";"100.35";"A"
"2018-08";"110.15";"A"
"2018-07";"109.49";"A"
"2018-06";"101.53";"A"
"2018-05";"108.34";"A"
"2018-04";"99.16";"A"
"2018-03";"96.61";"A"
"2018-02";"99.44";"A"
"2018-01";"99.67";"A"
"2017-12";"96.25";"A"
"2017-11";"98.26";"A"
"2017-10";"103.84";"A"
"2017-09";"94.14";"A"
"2017-08";"93.83";"A"
"2017-07";"97.19";"A"
"2017-06";"111.41";"A"
"2017-05";"100.36";"A"
"2017-04";"104.39";"A"
"2017-03";"104.04";"A"
"2017-02";"101.6";"A"
"2017-01";"92.11";"A"
"2016-12";"105.86";"A"
"2016-11";"97.55";"A"
"2016-10";"101.1";"A"
"2016-09";"108.03";"A"
"2016-08";"105.32";"A"
"2016-07";"100.04";"A"
"2016-06";"96.77";"A"
"2016-05";"99.11";"A"
"2016-04";"95.4";"A"
"2016-03";"99.3";"A"
"2016-02";"98.51";"A"
"2016-01";"96.42";"A"
"2015-12";"100.01";"A"
"2015-11";"103.25";"A"
"2015-10";"96.5";"A"
"2015-09";"99.96";"A"
"2015-08";"96.19";"A"
"2015-07";"110.74";"A"
"2015-06";"100.45";"A"
"2015-05";"103.38";"A"
"2015-04";"97.72";"A"
"2015-03";"95.7";"A"
"2015-02";"97.41";"A"
"2015-01";"98.68";"A"
"2014-12";"92.31";"A"
"2014-11";"90.93";"A"
"2014-10";"91.98";"A"
"2014-09";"102.96";"A"
"2014-08";"88.6";"A"
"2014-07";"89.04";"A"
"2014-06";"94.72";"A"
"2014-05";"86.21";"A"
"2014-04";"90.01";"A"
"2014-03";"90.99";"A"
"2014-02";"88.46";"A"
"2014-01";"87.69";"A"
"2013-12";"92.0";"A"
"2013-11";"86.59";"A"
"2013-10";"85.79";"A"
"2013-09";"84.53";"A"
"2013-08";"90.36";"A"
"2013-07";"93.73";"A"
"2013-06";"69.5";"A"
"2013-05";"82.17";"A"
"2013-04";"76.91";"A"
"2013-03";"73.7";"A"
"2013-02";"67.47";"A"
"2013-01";"49.84";"A"
"2012-12";"123.22";"A"
"2012-11";"97.3";"A"
"2012-10";"86.88";"A"
"2012-09";"82.18";"A"
"2012-08";"91.0";"A"
"2012-07";"78.95";"A"
"2012-06";"78.35";"A"
"2012-05";"77.98";"A"
"2012-04";"80.07";"A"
"2012-03";"78.85";"A"
"2012-02";"77.96";"A"
"2012-01";"80.03";"A"
"2011-12";"81.41";"A"
"2011-11";"83.6";"A"
"2011-10";"84.11";"A"
"2011-09";"82.86";"A"
"2011-08";"81.33";"A"
"2011-07";"76.35";"A"
"2011-06";"79.64";"A"
"2011-05";"81.71";"A"
"2011-04";"79.84";"A"
"2011-03";"75.18";"A"
"2011-02";"76.01";"A"
"2011-01";"75.45";"A"
"2010-12";"73.03";"A"
"2010-11";"75.51";"A"
"2010-10";"71.66";"A"
"2010-09";"71.88";"A"
"2010-08";"70.42";"A"
"2010-07";"86.23";"A"
"2010-06";"74.38";"A"
"2010-05";"71.9";"A"
"2010-04";"72.06";"A"
"2010-03";"74.05";"A"
"2010-02";"69.03";"A"
"2010-01";"70.35";"A"
"2009-12";"72.14";"A"
"2009-11";"69.9";"A"
"2009-10";"70.7";"A"
"2009-09";"73.08";"A"
"2009-08";"73.05";"A"
"2009-07";"76.7";"A"
"2009-06";"72.83";"A"
"2009-05";"71.56";"A"
"2009-04";"72.3";"A"
"2009-03";"72.09";"A"
"2009-02";"68.79";"A"
"2009-01";"69.45";"A"
"2008-12";"66.61";"A"
"2008-11";"63.86";"A"
"2008-10";"67.12";"A"
"2008-09";"68.27";"A"
"2008-08";"63.25";"A"
"2008-07";"61.04";"A"
"2008-06";"60.96";"A"
"2008-05";"70.83";"A"
"2008-04";"63.52";"A"
"2008-03";"66.22";"A"
"2008-02";"70.95";"A"
"2008-01";"72.93";"A"
"2007-12";"71.94";"A"
"2007-11";"60.72";"A"
"2007-10";"79.65";"A"
"2007-09";"66.54";"A"
"2007-08";"65.01";"A"
"2007-07";"57.8";"A"
"2007-06";"65.43";"A"
"2007-05";"77.07";"A"
"2007-04";"72.99";"A"
"2007-03";"70.79";"A"
"2007-02";"76.74";"A"
"2007-01";"68.02";"A"
"2006-12";"71.49";"A"
"2006-11";"72.88";"A"
"2006-10";"73.87";"A"
"2006-09";"74.31";"A"
"2006-08";"79.87";"A"
"2006-07";"84.42";"A"
"2006-06";"80.84";"A"
"2006-05";"78.06";"A"
"2006-04";"73.61";"A"
"2006-03";"76.59";"A"
"2006-02";"71.15";"A"
"2006-01";"70.9";"A"
"2005-12";"73.14";"A"
"2005-11";"81.55";"A"
"2005-10";"79.89";"A"
"2005-09";"78.72";"A"
"2005-08";"78.91";"A"
"2005-07";"78.87";"A"
"2005-06";"76.48";"A"
"2005-05";"78.86";"A"
"2005-04";"76.86";"A"
"2005-03";"74.81";"A"
"2005-02";"72.63";"A"
"2005-01";"84.92";"A"
"2004-12";"82.09";"A"
"2004-11";"79.73";"A"
"2004-10";"74.91";"A"
"2004-09";"81.38";"A"
"2004-08";"75.7";"A"
"2004-07";"71.95";"A"
"2004-06";"82.78";"A"
"2004-05";"78.49";"A"
"2004-04";"78.86";"A"
"2004-03";"83.36";"A"
"2004-02";"79.59";"A"
"2004-01";"96.94";"A"
"2003-12";"86.19";"A"
"2003-11";"76.51";"A"
"2003-10";"79.9";"A"
"2003-09";"83.74";"A"
"2003-08";"93.74";"A"
"2003-07";"94.82";"A"
"2003-06";"90.06";"A"
"2003-05";"81.38";"A"
"2003-04";"87.47";"A"
"2003-03";"82.4";"A"
"2003-02";"97.36";"A"
"2003-01";"83.65";"A"
"2002-12";"77.99";"A"
"2002-11";"89.21";"A"
"2002-10";"100.35";"A"
"2002-09";"85.82";"A"
"2002-08";"82.09";"A"
"2002-07";"70.12";"A"
"2002-06";"82.3";"A"
"2002-05";"85.17";"A"
"2002-04";"95.09";"A"
"2002-03";"90.0";"A"
"2002-02";"94.23";"A"
"2002-01";"90.67";"A"
"2001-12";"92.3";"A"
"2001-11";"88.35";"A"
"2001-10";"88.61";"A"
"2001-09";"78.13";"A"
"2001-08";"106.02";"A"
"2001-07";"88.59";"A"
"2001-06";"90.1";"A"
"2001-05";"91.5";"A"
"2001-04";"89.26";"A"
"2001-03";"86.31";"A"
"2001-02";"91.18";"A"
"2001-01";"92.91";"A"
"2000-12";"89.9";"A"
"2000-11";"74.95";"A"
"2000-10";"104.16";"A"
"2000-09";"99.91";"A"
"2000-08";"88.3";"A"
"2000-07";"90.92";"A"
"2000-06";"87.77";"A"
"2000-05";"96.97";"A"
"2000-04";"83.26";"A"
"2000-03";"96.38";"A"
"2000-02";"91.42";"A"
"2000-01";"77.21";"A"
"1999-12";"80.28";"A"
"1999-11";"86.34";"A"
"1999-10";"102.0";"A"
"1999-09";"85.98";"A"
"1999-08";"94.2";"A"
"1999-07";"88.84";"A"
"1999-06";"88.32";"A"
"1999-05";"87.59";"A"
"1999-04";"89.88";"A"
"1999-03";"85.13";"A"
"1999-02";"87.08";"A"
"1999-01";"93.82";"A"
"1998-12";"85.8";"A"
"1998-11";"86.76";"A"
"1998-10";"83.88";"A"
"1998-09";"88.45";"A"
"1998-08";"89.95";"A"
"1998-07";"90.64";"A"
"1998-06";"92.3";"A"
"1998-05";"89.4";"A"
"1998-04";"88.22";"A"
"1998-03";"94.41";"A"
"1998-02";"89.95";"A"
"1998-01";"90.62";"A"
"1997-12";"103.11";"A"
"1997-11";"101.65";"A"
"1997-10";"93.83";"A"
"1997-09";"96.35";"A"
"1997-08";"91.92";"A"
"1997-07";"78.17";"A"
"1997-06";"93.83";"A"
"1997-05";"95.69";"A"
"1997-04";"93.79";"A"
"1997-03";"91.37";"A"
"1997-02";"78.04";"A"
"1997-01";"80.5";"A"
"1996-12";"99.85";"A"
"1996-11";"105.27";"A"
"1996-10";"87.12";"A"
"1996-09";"88.11";"A"
"1996-08";"83.29";"A"
"1996-07";"85.77";"A"
"1996-06";"94.64";"A"
"1996-05";"93.73";"A"
"1996-04";"89.66";"A"
"1996-03";"89.43";"A"
"1996-02";"89.96";"A"
"1996-01";"92.14";"A"
"1995-12";"91.17";"A"
"1995-11";"92.92";"A"
"1995-10";"96.99";"A"
"1995-09";"92.67";"A"
"1995-08";"93.36";"A"
"1995-07";"96.42";"A"
"1995-06";"92.6";"A"
"1995-05";"92.36";"A"
"1995-04";"93.96";"A"
"1995-03";"91.23";"A"
"1995-02";"105.37";"A"
"1995-01";"96.41";"A"
"1994-12";"94.07";"A"
"1994-11";"92.13";"A"
"1994-10";"93.2";"A"
"1994-09";"89.75";"A"
"1994-08";"99.5";"A"
"1994-07";"99.52";"A"
"1994-06";"86.47";"A"
"1994-05";"86.68";"A"
"1994-04";"89.49";"A"
"1994-03";"88.54";"A"
"1994-02";"85.76";"A"
"1994-01";"101.52";"A"
"1993-12";"95.69";"A"
"1993-11";"89.85";"A"
"1993-10";"95.71";"A"
"1993-09";"128.79";"A"
"1993-08";"118.49";"A"
"1993-07";"92.24";"A"
"1993-06";"84.98";"A"
"1993-05";"90.96";"A"
"1993-04";"101.01";"A"
"1993-03";"105.3";"A"
"1993-02";"107.09";"A"
"1993-01";"104.01";"A"
"1992-12";"89.94";"A"
"1992-11";"97.18";"A"
"1992-10";"99.23";"A"
"1992-09";"96.19";"A"
"1992-08";"95.81";"A"
"1992-07";"94.63";"A"
"1992-06";"100.61";"A"
"1992-05";"99.86";"A"
"1992-04";"84.89";"A"
"1992-03";"98.1";"A"
"1992-02";"94.73";"A"
"1992-01";"93.91";"A"
"1991-12";"101.08";"A"
"1991-11";"99.31";"A"
"1991-10";"102.28";"A"
"1991-09";"100.9";"A"
"1991-08";"97.41";"A"
"1991-07";"89.88";"A"
"1991-06";"96.26";"A"
"1991-05";"99.69";"A"
"1991-04";"96.61";"A"
"1991-03";"94.0";"A"
"1991-02";"93.97";"A"
"1991-01";"94.17";"A"
"1990-12";"91.5";"A"
"1990-11";"100.54";"A"
"1990-10";"96.7";"A"
"1990-09";"101.02";"A"
"1990-08";"97.13";"A"
"1990-07";"104.67";"A"
"1990-06";"102.99";"A"
"1990-05";"98.76";"A"
"1990-04";"97.65";"A"
"1990-03";"93.08";"A"
"1990-02";"95.38";"A"
"1990-01";"95.61";"A"
